 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
bernoulli | KL-UCB | Run 9 | Cumulative Reward: 165.0 | Total Regret: 15.0
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 172.0 | Total Regret: 8.0
bernoulli | ThompsonSampling | Run 1 | Cumulative Reward: 163.0 | Total Regret: 17.0
bernoulli | ThompsonSampling | Run 2 | Cumulative Reward: 180.0 | Total Regret: 2.4424906541753444e-15
bernoulli | ThompsonSampling | Run 3 | Cumulative Reward: 173.0 | Total Regret: 7.000000000000001
bernoulli | ThompsonSampling | Run 4 | Cumulative Reward: 167.0 | Total Regret: 13.0
bernoulli | ThompsonSampling | Run 5 | Cumulative Reward: 179.0 | Total Regret: 1.000000000000003
bernoulli | ThompsonSampling | Run 6 | Cumulative Reward: 168.0 | Total Regret: 12.0
bernoulli | ThompsonSampling | Run 7 | Cumulative Reward: 177.0 | Total Regret: 2.9999999999999996
bernoulli | ThompsonSampling | Run 8 | Cumulative Reward: 172.0 | Total Regret: 8.0
bernoulli | ThompsonSampling | Run 9 | Cumulative Reward: 178.0 | Total Regret: 2.000000000000002
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 5.0 | Total Regret: 13.000000000000002
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 3.0 | Total Regret: 15.000000000000002
bernoulli | EpsilonGreedy | Run 2 | Cumulative Reward: 2.0 | Total Regret: 16.0
bernoulli | EpsilonGreedy | Run 3 | Cumulative Reward: 1.0 | Total Regret: 17.0
bernoulli | EpsilonGreedy | Run 4 | Cumulative Reward: 2.0 | Total Regret: 16.0
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 14.0 | Total Regret: 4.000000000000002
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 13.0 | Total Regret: 5.000000000000002
bernoulli | KL-UCB | Run 2 | Cumulative Reward: 16.0 | Total Regret: 2.0
bernoulli | KL-UCB | Run 3 | Cumulative Reward: 12.0 | Total Regret: 6.000000000000002
bernoulli | KL-UCB | Run 4 | Cumulative Reward: 13.0 | Total Regret: 5.000000000000002
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 10.0 | Total Regret: 8.000000000000002
bernoulli | ThompsonSampling | Run 1 | Cumulative Reward: 9.0 | Total Regret: 9.000000000000002
bernoulli | ThompsonSampling | Run 2 | Cumulative Reward: 15.0 | Total Regret: 3.0
bernoulli | ThompsonSampling | Run 3 | Cumulative Reward: 12.0 | Total Regret: 6.000000000000002
bernoulli | ThompsonSampling | Run 4 | Cumulative Reward: 14.0 | Total Regret: 4.000000000000002
bernoulli | LLMAgent | Run 0 | Cumulative Reward: 7.0 | Total Regret: 11.000000000000002
bernoulli | LLMAgent | Run 1 | Cumulative Reward: 7.0 | Total Regret: 11.000000000000002
bernoulli | LLMAgent | Run 2 | Cumulative Reward: 9.0 | Total Regret: 9.000000000000002
bernoulli | LLMAgent | Run 3 | Cumulative Reward: 12.0 | Total Regret: 6.000000000000002
bernoulli | LLMAgent | Run 4 | Cumulative Reward: 10.0 | Total Regret: 8.000000000000002
gaussian | GaussianEpsilonGreedy | Run 0 | Cumulative Reward: 9.437586613762045 | Total Regret: 30.562413386237964
gaussian | GaussianEpsilonGreedy | Run 1 | Cumulative Reward: 20.901571132256496 | Total Regret: 19.0984288677435
gaussian | GaussianEpsilonGreedy | Run 2 | Cumulative Reward: 27.140745085563918 | Total Regret: 12.859254914436082
gaussian | GaussianEpsilonGreedy | Run 3 | Cumulative Reward: 23.01075711623909 | Total Regret: 16.9892428837609
gaussian | GaussianEpsilonGreedy | Run 4 | Cumulative Reward: 20.597784983124246 | Total Regret: 19.402215016875754
gaussian | GaussianUCB | Run 0 | Cumulative Reward: 28.82988069463251 | Total Regret: 11.170119305367487
gaussian | GaussianUCB | Run 1 | Cumulative Reward: 26.855048004684036 | Total Regret: 13.14495199531596
gaussian | GaussianUCB | Run 2 | Cumulative Reward: 17.795551991738737 | Total Regret: 22.204448008261267
gaussian | GaussianUCB | Run 3 | Cumulative Reward: 22.594929046850897 | Total Regret: 17.405070953149096
gaussian | GaussianUCB | Run 4 | Cumulative Reward: 28.773973752135163 | Total Regret: 11.226026247864842
gaussian | GaussianThompsonSampling | Run 0 | Cumulative Reward: 37.426227063524664 | Total Regret: 2.573772936475331
gaussian | GaussianThompsonSampling | Run 1 | Cumulative Reward: 28.124386012909234 | Total Regret: 11.875613987090771
gaussian | GaussianThompsonSampling | Run 2 | Cumulative Reward: 35.846250990853164 | Total Regret: 4.153749009146842
gaussian | GaussianThompsonSampling | Run 3 | Cumulative Reward: 35.87210581772182 | Total Regret: 4.127894182278191
gaussian | GaussianThompsonSampling | Run 4 | Cumulative Reward: 36.59748552105685 | Total Regret: 3.40251447894315
gaussian | LLMAgent | Run 0 | Cumulative Reward: 12.569543508425108 | Total Regret: 27.430456491574894
gaussian | LLMAgent | Run 1 | Cumulative Reward: 29.830697159244657 | Total Regret: 10.169302840755346
